"lastupdatedate","town_no","town","towntotalcases","townconfirmedcases","townprobablecases","towncaserate","towntotaldeaths","townconfirmeddeaths","townprobabledeaths","peopletested","ratetested100k","numberoftests","numberofpositives","numberofnegatives","numberofindeterminates"
2020-03-24,125,"Sharon",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,25,"Cheshire",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,111,"Plymouth",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,112,"Pomfret",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,113,"Portland",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,114,"Preston",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,115,"Prospect",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,116,"Putnam",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,117,"Redding",6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,15,"Bridgeport",27,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,141,"Thompson",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26,75,"Lyme",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,110,"Plainville",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,79,"Marlborough",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,119,"Rocky Hill",8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,96,"New Milford",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,4,"Avon",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,77,"Manchester",5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,20,"Burlington",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,64,"Hartford",14,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,12,"Bolton",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,155,"West Hartford",6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,43,"East Hartford",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,66,"Harwinton",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,74,"Litchfield",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,68,"Kent",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,149,"Warren",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,136,"Sterling",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,52,"Farmington",5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,109,"Plainfield",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,1,"Andover",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,22,"Canterbury",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,153,"Watertown",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,10,"Bethlehem",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,127,"Sherman",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,53,"Franklin",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,133,"Sprague",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,131,"Southington",6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,7,"Berlin",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,28,"Colchester",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,151,"Waterbury",10,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,168,"Woodbury",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,104,"Norwich",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,120,"Roxbury",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,83,"Middletown",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,13,"Bozrah",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,80,"Meriden",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,114,"Preston",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,81,"Middlebury",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,16,"Bridgewater",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,41,"East Haddam",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,61,"Haddam",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,88,"Naugatuck",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,38,"Durham",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,108,"Oxford",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,73,"Lisbon",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,147,"Voluntown",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,42,"East Hampton",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,58,"Griswold",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,166,"Wolcott",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,113,"Portland",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,33,"Cromwell",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,160,"Willington",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,164,"Windsor",4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,82,"Middlefield",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,121,"Salem",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,102,"North Stonington",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,86,"Montville",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,72,"Ledyard",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,97,"Newtown",5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,8,"Bethany",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,6,"Beacon Falls",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,34,"Danbury",29,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,62,"Hamden",4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,45,"East Lyme",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,70,"Killingworth",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,75,"Lyme",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,76,"Madison",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,137,"Stonington",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,101,"North Haven",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,26,"Chester",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,60,"Guilford",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,9,"Bethel",6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,36,"Deep River",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,167,"Woodbridge",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,85,"Monroe",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,95,"New London",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,50,"Essex",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,105,"Old Lyme",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,44,"East Haven",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,2,"Ansonia",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,118,"Ridgefield",34,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,126,"Shelton",5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,18,"Brookfield",13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,148,"Wallingford",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,130,"Southbury",4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,37,"Derby",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,117,"Redding",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,93,"New Haven",22,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,154,"Westbrook",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,106,"Old Saybrook",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,27,"Clinton",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,46,"Easton",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,14,"Branford",5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,107,"Orange",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,144,"Trumbull",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,84,"Milford",6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,157,"Weston",7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,138,"Stratford",7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,161,"Wilton",13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,51,"Fairfield",9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,15,"Bridgeport",16,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,90,"New Canaan",11,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,158,"Westport",79,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,135,"Stamford",34,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,103,"Norwalk",46,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,57,"Greenwich",41,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,35,"Darien",13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,152,"Waterford",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,99,"North Branford",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,124,"Seymour",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,59,"Groton",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,156,"West Haven",11,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,91,"New Fairfield",7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,115,"Prospect",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,122,"Salisbury",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,100,"North Canaan",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,98,"Norfolk",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,29,"Colebrook",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,65,"Hartland",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,169,"Woodstock",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,141,"Thompson",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,21,"Canaan",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,40,"East Granby",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,5,"Barkhamsted",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,162,"Winchester",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,39,"Eastford",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,3,"Ashford",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,48,"Ellington",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,165,"Windsor Locks",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,47,"East Windsor",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,116,"Putnam",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,163,"Windham",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,123,"Scotland",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,54,"Glastonbury",6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,30,"Columbia",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,67,"Hebron",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,159,"Wethersfield",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,94,"Newington",8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,17,"Bristol",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,87,"Morris",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,89,"New Britain",5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,71,"Lebanon",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,111,"Plymouth",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,150,"Washington",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,142,"Tolland",5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,23,"Canton",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,128,"Simsbury",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,31,"Cornwall",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,112,"Pomfret",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,55,"Goshen",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,56,"Granby",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,139,"Suffield",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,49,"Enfield",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,129,"Somers",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,134,"Stafford",8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,145,"Union",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,69,"Killingly",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,11,"Bloomfield",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,92,"New Hartford",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,143,"Torrington",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,146,"Vernon",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,132,"South Windsor",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,32,"Coventry",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,78,"Mansfield",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,24,"Chaplin",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,63,"Hampton",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,19,"Brooklyn",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24,140,"Thomaston",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,140,"Thomaston",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,141,"Thompson",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,142,"Tolland",5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,143,"Torrington",4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,144,"Trumbull",4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,145,"Union",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,146,"Vernon",4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,147,"Voluntown",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,148,"Wallingford",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,149,"Warren",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,150,"Washington",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,151,"Waterbury",17,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,152,"Waterford",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,153,"Watertown",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,155,"West Hartford",6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,156,"West Haven",12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,154,"Westbrook",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,157,"Weston",10,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,158,"Westport",87,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,159,"Wethersfield",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,160,"Willington",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,161,"Wilton",17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,162,"Winchester",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,163,"Windham",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,164,"Windsor",6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,165,"Windsor Locks",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,166,"Wolcott",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,167,"Woodbridge",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,168,"Woodbury",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,169,"Woodstock",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,97,"Newtown",12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,52,"Farmington",8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,98,"Norfolk",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,99,"North Branford",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,100,"North Canaan",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,101,"North Haven",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,102,"North Stonington",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,103,"Norwalk",66,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,104,"Norwich",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,105,"Old Lyme",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,106,"Old Saybrook",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,107,"Orange",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,108,"Oxford",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,109,"Plainfield",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,110,"Plainville",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,118,"Ridgefield",41,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,119,"Rocky Hill",8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,120,"Roxbury",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,121,"Salem",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,122,"Salisbury",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,123,"Scotland",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,124,"Seymour",5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,125,"Sharon",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,126,"Shelton",6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,127,"Sherman",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,128,"Simsbury",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,129,"Somers",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,132,"South Windsor",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,130,"Southbury",5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,131,"Southington",8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,133,"Sprague",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,134,"Stafford",11,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,135,"Stamford",48,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,136,"Sterling",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,137,"Stonington",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,138,"Stratford",11,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,139,"Suffield",4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,53,"Franklin",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,54,"Glastonbury",7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,55,"Goshen",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,56,"Granby",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,57,"Greenwich",54,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,58,"Griswold",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,59,"Groton",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,60,"Guilford",2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,61,"Haddam",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,62,"Hamden",6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,63,"Hampton",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,64,"Hartford",20,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,65,"Hartland",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,66,"Harwinton",4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,67,"Hebron",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,68,"Kent",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,69,"Killingly",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,70,"Killingworth",1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25,71,"Lebanon",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
